{}																																																
Co./Last Name	First Name	Addr 1 - Line 1	Addr 1 - Line 2	Addr 1 - Line 3	Addr 1 - Line 4	Inclusive	Invoice No.	Date	Customer PO	Ship Via	Delivery Status	Item Number	Quantity	Description	Price	Discount	Total	Job	Comment	Journal Memo	Salesperson Last Name	Salesperson First Name	Shipping Date	Referral Source	Tax Code	Tax Amount	Freight Amount	Freight Tax Code	Freight Tax Amount	Sale Status	Terms - Payment is Due	           - Discount Days	           - Balance Due Days	           - % Discount	           - % Monthly Charge	Amount Paid	Payment Method	Payment Notes	Name on Card	Card Number	Authorisation Code	BSB	Account Number	Drawer/Account Name	Cheque Number	Category	Card ID	Record ID
South East Asia Beauty/Chadstone VIC		South East Asia Beauty/Chadstone VIC	Attn: Terra Sien	Shopping Village 123	888 Beauty Parade	X	00033157	18/3/2024	MANAGEMENT	Star Track Express	A	HBCVS2	4	Cosmetic Brush Cleaner 500ml	$15.51 	0%	$62.04 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Chadstone VIC					GST	$6.20 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3701
South East Asia Beauty/Chadstone VIC		South East Asia Beauty/Chadstone VIC	Attn: Terra Sien	Shopping Village 123	888 Beauty Parade	X	00033157	18/3/2024	MANAGEMENT	Star Track Express	A	HSSIS	4	Isocol Antiseptic Alcohol345ml	$11.28 	0%	$45.12 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Chadstone VIC					GST	$4.52 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3701
South East Asia Beauty/Chadstone VIC		South East Asia Beauty/Chadstone VIC	Attn: Terra Sien	Shopping Village 123	888 Beauty Parade	X	00033157	18/3/2024	MANAGEMENT	Star Track Express	A	DMALG50B	3	Lip Gloss Wands Bamboo Handle	$12.46 	0%	$37.37 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Chadstone VIC					GST	$3.73 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3701
																																																
South East Asia Beauty/Carousel WA		South East Asia Beauty/Carousel WA	Attn: Geraldine Biandy	Shopping Village 123	888 Beauty Parade	X	00033159	18/3/2024	Geraldine	TNT	A	HBCVS2	5	Cosmetic Brush Cleaner 500ml	$15.51 	0%	$77.55 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Carousel WA					GST	$7.75 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	5466
South East Asia Beauty/Carousel WA		South East Asia Beauty/Carousel WA	Attn: Geraldine Biandy	Shopping Village 123	888 Beauty Parade	X	00033159	18/3/2024	Geraldine	TNT	A	DCTBA200	10	Cotton Tips Bamboo Stick 200pk	$3.18 	0%	$31.81 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Carousel WA					GST	$3.19 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	5466
South East Asia Beauty/Carousel WA		South East Asia Beauty/Carousel WA	Attn: Geraldine Biandy	Shopping Village 123	888 Beauty Parade	X	00033159	18/3/2024	Geraldine	TNT	A	HSSIS	5	Isocol Antiseptic Alcohol345ml	$11.28 	0%	$56.41 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Carousel WA					GST	$5.64 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	5466
																																																
South East Asia Beauty/Chadstone VIC		South East Asia Beauty/Chadstone VIC	Attn: Terra Sien	Shopping Village 123	888 Beauty Parade	X	00033157	18/3/2024	MANAGEMENT	Star Track Express	A	FHC	1	Express Freight & Handling	$27.23 	0%	$27.23 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Chadstone VIC					GST	$2.72 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3701
																																																
South East Asia Beauty/Carousel WA		South East Asia Beauty/Carousel WA	Attn: Geraldine Biandy	Shopping Village 123	888 Beauty Parade	X	00033159	18/3/2024	Geraldine	TNT	A	EMRAR2	4	"Eye Make up Remover 250ml, only 4 available at the moment, please reorder"	$10.31 	0%	$41.24 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Carousel WA					GST	$4.12 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	5466
South East Asia Beauty/Carousel WA		South East Asia Beauty/Carousel WA	Attn: Geraldine Biandy	Shopping Village 123	888 Beauty Parade	X	00033159	18/3/2024	Geraldine	TNT	A	FHC	1	Standard Freight & Handling	$44.59 	0%	$44.59 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Carousel WA					GST	$4.46 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	5466
																																																
South East Asia Beauty/Macquarie Centre NSW		South East Asia Beauty/Macquarie Centre NSW	Attention: Store Manager	Shopping Village 123	888 Beauty Parade	X	00033162	19/3/2024	MANAGEMENT	Fastway Sydney Metro	A	DMWLA96	3	Latex Make-up Wedges (96/pack)	$28.64 	0%	$85.91 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Macquarie Centre NSW					GST	$8.59 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3505
South East Asia Beauty/Macquarie Centre NSW		South East Asia Beauty/Macquarie Centre NSW	Attention: Store Manager	Shopping Village 123	888 Beauty Parade	X	00033162	19/3/2024	MANAGEMENT	Fastway Sydney Metro	A	CPLMS2	5	Bottle PET Mist Spray 250ml	$3.62 	0%	$18.09 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Macquarie Centre NSW					GST	$1.81 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3505
South East Asia Beauty/Macquarie Centre NSW		South East Asia Beauty/Macquarie Centre NSW	Attention: Store Manager	Shopping Village 123	888 Beauty Parade	X	00033162	19/3/2024	MANAGEMENT	Fastway Sydney Metro	A	DMALG50B	4	Lip Gloss Wands Bamboo Handle	$12.46 	0%	$49.82 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Macquarie Centre NSW					GST	$4.98 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3505
South East Asia Beauty/Macquarie Centre NSW		South East Asia Beauty/Macquarie Centre NSW	Attention: Store Manager	Shopping Village 123	888 Beauty Parade	X	00033162	19/3/2024	MANAGEMENT	Fastway Sydney Metro	A	DCTBA200	4	Cotton Tips Bamboo Stick 200pk	$3.18 	0%	$12.73 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Macquarie Centre NSW					GST	$1.27 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3505
South East Asia Beauty/Macquarie Centre NSW		South East Asia Beauty/Macquarie Centre NSW	Attention: Store Manager	Shopping Village 123	888 Beauty Parade	X	00033162	19/3/2024	MANAGEMENT	Fastway Sydney Metro	A	DMAMWB	4	Dis Mascara Wands Bamboo 100pk	$21.57 	0%	$86.26 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Macquarie Centre NSW					GST	$8.62 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3505
South East Asia Beauty/Macquarie Centre NSW		South East Asia Beauty/Macquarie Centre NSW	Attention: Store Manager	Shopping Village 123	888 Beauty Parade	X	00033162	19/3/2024	MANAGEMENT	Fastway Sydney Metro	A	EMRAR2	5	Eye Make up Remover 250ml	$10.31 	0%	$51.54 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Macquarie Centre NSW					GST	$5.16 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3505
South East Asia Beauty/Macquarie Centre NSW		South East Asia Beauty/Macquarie Centre NSW	Attention: Store Manager	Shopping Village 123	888 Beauty Parade	X	00033162	19/3/2024	MANAGEMENT	Fastway Sydney Metro	A	FHC	1	Standard Freight & Handling	$22.14 	0%	$22.14 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Macquarie Centre NSW					GST	$2.22 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3505
																																																
South East Asia Beauty/Karrinyup WA		South East Asia Beauty/Karrinyup WA	Attn: Mary-Ann Lynn	Shopping Village 123	888 Beauty Parade	X	00033175	21/3/2024	SMT	Star Track Express	A	DCTBA200	10	Cotton Tips Bamboo Stick 200pk	$3.18 	0%	$31.82 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Karrinyup WA					GST	$3.18 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	5097
South East Asia Beauty/Karrinyup WA		South East Asia Beauty/Karrinyup WA	Attn: Mary-Ann Lynn	Shopping Village 123	888 Beauty Parade	X	00033175	21/3/2024	SMT	Star Track Express	A	DMWLA96	10	Latex Make-up Wedges (96/pack)	$28.64 	0%	$286.36 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Karrinyup WA					GST	$28.64 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	5097
																																																
South East Asia Beauty/Mount Gravat QLD		South East Asia Beauty/Mount Gravat QLD	Attention: Visha Moris	Shopping Village 123	888 Beauty Parade	X	00033176	21/3/2024		Star Track Express	A	EMRAR2	20	"Eye Make up Remover 250ml, WILL BE SENT SEPARATELY, CURRENTLY OUT OF STOCK, STOCK SHOULD ARRIVE EARLY NEXT WEEK. WILL SEND AS SOON AS THEY BECOME AVAIALABLE."	$10.31 	0%	$206.18 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Mount Gravat QLD					GST	$20.62 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	5426
South East Asia Beauty/Mount Gravat QLD		South East Asia Beauty/Mount Gravat QLD	Attention: Visha Moris	Shopping Village 123	888 Beauty Parade	X	00033176	21/3/2024		Star Track Express	A	HSSIS	10	Isocol Antiseptic Alcohol345ml	$11.28 	0%	$112.82 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Mount Gravat QLD					GST	$11.28 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	5426
South East Asia Beauty/Mount Gravat QLD		South East Asia Beauty/Mount Gravat QLD	Attention: Visha Moris	Shopping Village 123	888 Beauty Parade	X	00033176	21/3/2024		Star Track Express	A	HSSAQHS	8	Aqium Hand Sanitizer 375 ml	$6.78 	0%	$54.25 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Mount Gravat QLD					GST	$5.43 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	5426
South East Asia Beauty/Mount Gravat QLD		South East Asia Beauty/Mount Gravat QLD	Attention: Visha Moris	Shopping Village 123	888 Beauty Parade	X	00033176	21/3/2024		Star Track Express	A	HSSDEHW	2	Antiseptic Hand Wash Liquid	$2.90 	0%	$5.80 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Mount Gravat QLD					GST	$0.58 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	5426
South East Asia Beauty/Mount Gravat QLD		South East Asia Beauty/Mount Gravat QLD	Attention: Visha Moris	Shopping Village 123	888 Beauty Parade	X	00033176	21/3/2024		Star Track Express	A	DTICU90	144	"Cube Tissue 2ply, 90/pk"	$1.69 	0%	$243.49 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Mount Gravat QLD					GST	$24.35 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	5426
South East Asia Beauty/Mount Gravat QLD		South East Asia Beauty/Mount Gravat QLD	Attention: Visha Moris	Shopping Village 123	888 Beauty Parade	X	00033176	21/3/2024		Star Track Express	A	HBCVS2	5	Cosmetic Brush Cleaner 500ml	$15.51 	0%	$77.55 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Mount Gravat QLD					GST	$7.75 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	5426
																																																
South East Asia Beauty/Highpoint SC VIC		South East Asia Beauty/Highpoint SC VIC	Attn: Emillia Esmeralda	Shopping Village 123	888 Beauty Parade	X	00033177	21/3/2024	Emillia Esmeralda	Star Track Express	P	FHC	1	Standard Freight & Handling	$0.00 	0%	$0.00 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Highpoint SC VIC					GST	$0.00 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	4125
South East Asia Beauty/Highpoint SC VIC		South East Asia Beauty/Highpoint SC VIC	Attn: Emillia Esmeralda	Shopping Village 123	888 Beauty Parade	X	00033177	21/3/2024	Emillia Esmeralda	Star Track Express	P	EMRAR2	20	Eye Make up Remover 250ml	$10.31 	0%	$206.18 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Highpoint SC VIC					GST	$20.62 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	4125
																																																
South East Asia Beauty/Broadway SC NSW		South East Asia Beauty/Broadway SC NSW	Attn: Sue Lou	Shopping Village 123	888 Beauty Parade	X	00033179	22/3/2024	Sue Lou	Allied Express	A	DMWLA96	5	Latex Make-up Wedges (96/pack)	$28.64 	0%	$143.18 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Broadway SC NSW					GST	$14.32 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3570
South East Asia Beauty/Broadway SC NSW		South East Asia Beauty/Broadway SC NSW	Attn: Sue Lou	Shopping Village 123	888 Beauty Parade	X	00033179	22/3/2024	Sue Lou	Allied Express	A	DMAMWB	10	Dis Mascara Wands Bamboo 100pk	$21.56 	0%	$215.63 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Broadway SC NSW					GST	$21.57 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3570
South East Asia Beauty/Broadway SC NSW		South East Asia Beauty/Broadway SC NSW	Attn: Sue Lou	Shopping Village 123	888 Beauty Parade	X	00033179	22/3/2024	Sue Lou	Allied Express	A	DGLPFNBM	3	Gloves PF Nitrile BLACK Medium	$12.99 	0%	$38.98 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Broadway SC NSW					GST	$3.89 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3570
South East Asia Beauty/Broadway SC NSW		South East Asia Beauty/Broadway SC NSW	Attn: Sue Lou	Shopping Village 123	888 Beauty Parade	X	00033179	22/3/2024	Sue Lou	Allied Express	A	DCTBA200	6	Cotton Tips Bamboo Stick 200pk	$3.18 	0%	$19.09 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Broadway SC NSW					GST	$1.91 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3570
South East Asia Beauty/Broadway SC NSW		South East Asia Beauty/Broadway SC NSW	Attn: Sue Lou	Shopping Village 123	888 Beauty Parade	X	00033179	22/3/2024	Sue Lou	Allied Express	A	HSSAQHS	6	Aqium Hand Sanitizer 375 ml	$6.78 	0%	$40.69 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Broadway SC NSW					GST	$4.07 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3570
South East Asia Beauty/Broadway SC NSW		South East Asia Beauty/Broadway SC NSW	Attn: Sue Lou	Shopping Village 123	888 Beauty Parade	X	00033179	22/3/2024	Sue Lou	Allied Express	A	DCPRSW	10	Swisspers  ROUND Pads 80pk	$3.12 	0%	$31.18 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Broadway SC NSW					GST	$3.12 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3570
South East Asia Beauty/Broadway SC NSW		South East Asia Beauty/Broadway SC NSW	Attn: Sue Lou	Shopping Village 123	888 Beauty Parade	X	00033179	22/3/2024	Sue Lou	Allied Express	A	DTICU90	30	"Cube Tissue 2ply, 90/pk"	$1.69 	0%	$50.73 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Broadway SC NSW					GST	$5.07 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3570
South East Asia Beauty/Broadway SC NSW		South East Asia Beauty/Broadway SC NSW	Attn: Sue Lou	Shopping Village 123	888 Beauty Parade	X	00033179	22/3/2024	Sue Lou	Allied Express	A	DMALG50B	10	Lip Gloss Wands Bamboo Handle	$12.46 	0%	$124.55 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Broadway SC NSW					GST	$12.45 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3570
South East Asia Beauty/Broadway SC NSW		South East Asia Beauty/Broadway SC NSW	Attn: Sue Lou	Shopping Village 123	888 Beauty Parade	X	00033179	22/3/2024	Sue Lou	Allied Express	A	FHC	1	Standard Freight & Handling	$25.32 	0%	$25.32 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Broadway SC NSW					GST	$2.54 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3570
																																																
South East Asia Beauty/Robina QLD		South East Asia Beauty/Robina QLD	Attention: Reinanda Kerr	Shopping Village 123	888 Beauty Parade	X	00033182	22/3/2024	MANAGEMENT	Star Track Express	A	EMRAR2	5	"Eye Make up Remover 250ml, WILL SEND THIS SEPARATELY, CURRENTLY OUT OF STOCK. OUR APOLOGIES"	$10.31 	0%	$51.54 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Robina QLD					GST	$5.16 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	4206
South East Asia Beauty/Robina QLD		South East Asia Beauty/Robina QLD	Attention: Reinanda Kerr	Shopping Village 123	888 Beauty Parade	X	00033182	22/3/2024	MANAGEMENT	Star Track Express	A	HSSAQHS	5	Aqium Hand Sanitizer 375 ml	$6.78 	0%	$33.91 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Robina QLD					GST	$3.39 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	4206
South East Asia Beauty/Robina QLD		South East Asia Beauty/Robina QLD	Attention: Reinanda Kerr	Shopping Village 123	888 Beauty Parade	X	00033182	22/3/2024	MANAGEMENT	Star Track Express	A	DCTBA200	5	Cotton Tips Bamboo Stick 200pk	$3.18 	0%	$15.91 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Robina QLD					GST	$1.59 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	4206
South East Asia Beauty/Robina QLD		South East Asia Beauty/Robina QLD	Attention: Reinanda Kerr	Shopping Village 123	888 Beauty Parade	X	00033182	22/3/2024	MANAGEMENT	Star Track Express	A	DTWBL50	1	Disposable Towel Black 50pk	$34.43 	0%	$34.43 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Robina QLD					GST	$3.44 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	4206
South East Asia Beauty/Robina QLD		South East Asia Beauty/Robina QLD	Attention: Reinanda Kerr	Shopping Village 123	888 Beauty Parade	X	00033182	22/3/2024	MANAGEMENT	Star Track Express	A	FHC	1	Standard Freight & Handling	$27.23 	0%	$27.23 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Robina QLD					GST	$2.72 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	4206
																																																
South East Asia Beauty/Melbourne Central VIC		South East Asia Beauty/Melbourne Central VIC	BAMBOO COTTON TIPS ONLY			X	00033156	18/3/2024	MANAGEMENT	Star Track Express	A	HSSIS	5	Isocol Antiseptic Alcohol345ml	$11.28 	0%	$56.41 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Melbourne Central VIC					GST	$5.64 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3509
South East Asia Beauty/Melbourne Central VIC		South East Asia Beauty/Melbourne Central VIC	BAMBOO COTTON TIPS ONLY			X	00033156	18/3/2024	MANAGEMENT	Star Track Express	A	EMRAR2	5	Eye Make up Remover 250ml	$10.31 	0%	$51.55 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Melbourne Central VIC					GST	$5.15 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3509
South East Asia Beauty/Melbourne Central VIC		South East Asia Beauty/Melbourne Central VIC	BAMBOO COTTON TIPS ONLY			X	00033156	18/3/2024	MANAGEMENT	Star Track Express	A	FHC	1	Standard Freight & Handling	$39.45 	0%	$39.45 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Melbourne Central VIC					GST	$3.95 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3509
